,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,139397510,"£520,000",Reduced on 13/11/2023,"Cantelowes Road, London, NW1","An elegant, recently refurbished, one bedroom flat featuring stylish and spacious accommodation. This beautiful flat features contemporary designed accommodation effectively combining with the Victorian architecture. Furthermore, it boasts excellent storage space and an abundance of natural light...",Apartment,1,1,,Share of Freehold,[],"[['Camden Road ', '0.5 miles'], ['Caledonian Road ', '0.5 miles'], ['Kentish Town ', '0.6 miles']]","['overground', 'underground', 'nationalrail']",£0 per year,£800,948 years left,Band: D,False
1,86667297,"£550,000",Added on 06/11/2023,Reachview Close,"An exceptionally well-presented two bedroom first-floor apartment, forming part of a smart, modern building, set in attractive landscaped canal-side gardens, behind security gates. Recently refurbished to a high standard, the property offers 658 square feet (61 sq metres) thoughtfully-arrange...",Flat,1,2,658 sq. ft.(61 sq. m.),Share of Freehold,[],"[['Camden Road ', '0.2 miles'], ['Camden Town ', '0.3 miles'], ['Mornington Crescent ', '0.5 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,True
2,133848821,"£550,000",Reduced on 17/05/2023,"Hilldrop Crescent, 
Hillmarton Conservation Area, N7",A generously proportioned two bedroom apartment with private south west facing garden. This super property is positioned within a semi detached Victorian villa in a convenient location close to the amenities of Brecknock Parade.,Flat,1,2,740 sq. ft.(69 sq. m.),Leasehold,"['NO ONWARD CHAIN', 'Two bedroom Apartment', 'SW Facing private garden', 'Own front door', 'Close to shops and amenities']","[['Caledonian Road ', '0.5 miles'], ['Kentish Town ', '0.5 miles'], ['Tufnell Park ', '0.6 miles']]","['underground', 'nationalrail', 'underground']",£250 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£482,105 years left,Band: D,True
3,138190505,"£550,000",Added on 02/08/2023,"Burghley Road, London","A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park ( (cont.)",Flat,2,2,,Leasehold,"['A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location', 'Within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park (Northern Line) and Kentish Town (Northern Line/Overground) stations', 'Two double bedrooms', 'Bay fronted reception', 'Separate kitchen', 'En-suite bathroom to rear bedroom', 'Potential gross rental income up to £2,500.00 Per calendar month (£30,000.00per annum).', 'Patio garden which enjoys a sunny aspect', 'Also ideally located for access to the open spaces of Hampstead Heath/Parliament Hill Fields', 'SOLE AGENT']","[['Tufnell Park ', '0.1 miles'], ['Kentish Town ', '0.3 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,True
4,140700377,"£550,000",Added on 02/10/2023,"32 Lawn Road, London, NW3","** CHAIN FREE ** ** LONG LEASE ** A beautifully presented and well maintained one double bedroom purpose built ground floor flat, offered for sale in excellent condition throughout. Measuring approximately 547 sq ft, the property comprises of an entrance hall with a storage room, a double bedr...",Flat,2,1,,Leasehold,"['Private Enclosed Balcony & Small Garden', 'One Double Bedroom Purpose Built Flat', 'Ground Floor', 'Long Lease', 'Excellent Condition Throughout', 'Approximately 547 Sq Ft', 'Chain Free', 'Secure Video Entry Phone System', 'Double Glazed, Central Heating', 'Excellent Transport Links, Local Amenities']","[['Belsize Park ', '0.2 miles'], ['Hampstead Heath ', '0.2 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'overground', 'overground']",Ask agent,Ask agent,245 years left,Ask agent,True
5,141756419,"£550,000",Added on 10/08/2023,"Royal College Street, Camden, London","**INVESTORS ONLY** This is the perfect opportunity to become a part of Camden Town- found in a wonderful Victorian terrace this is a stunning two bedroom ground floor apartment benefiting from a plethora of natural light, original sash windows and high ceilings throughout the property....",Apartment,1,2,,Leasehold,"['Ground Floor', 'Communal Garden', 'Two bedrooms', 'Separate kitchen', 'Secondary glazing', 'Great transport links', 'Service Charge: £650 p/a', 'Lease Length: 103 years']","[['Camden Road ', '0.3 miles'], ['Camden Town ', '0.3 miles'], ['Mornington Crescent ', '0.3 miles']]","['overground', 'underground', 'underground']",£10 per year,£690,102 years left,Band: TBC,False
6,140535860,"£550,000",Reduced on 17/11/2023,"Fleet Road, Hampstead, London, NW3","This stunning 1 bedroom first floor flat is located in a period conversion and immaculately presented throughout. Featuring contemporary, stylish interiors and benefiting from a private roof terrace.",Flat,1,1,443 sq. ft.(41 sq. m.),Share of Freehold,"['Stunning 1 bedroom flat', 'First floor', 'Victorian terraced building', 'Open-plan living space', 'Well-equipped kitchen', 'Double bedroom with bi-fold doors to the terrace', 'Built in wall to wall storage', 'Sought-after location close to Hampstead Heath']","[['Hampstead Heath ', '0.2 miles'], ['Belsize Park ', '0.3 miles'], ['Gospel Oak ', '0.4 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
7,86667306,"£550,000",Added on 30/10/2023,Palmer House,"An exceptionally well-presented two bedroom first floor apartment, forming part of an attractive listed period terrace, ideally situated, within a short walk of Kentish Town and Tufnell Park Underground stations. Offering spacious and conveniently arranged accommodation, with good ceiling hei...",Flat,1,2,606 sq. ft.(56 sq. m.),Leasehold,[],"[['Tufnell Park ', '0.2 miles'], ['Kentish Town ', '0.2 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'nationalrail', 'overground']",Ask agent,Ask agent,145 years left,Band: D,True
8,138321971,"£550,000",Added on 05/08/2023,"Pratt Street, London, NW1","A light and well proportioned 2 double bedroom flat situated on the top (3rd floor) and making up part of a converted pub, backing on to St Martins Gardens. Skylight in reception room providing access to unofficial roof terrace.",Apartment,1,2,,Leasehold,"['Top floor', 'Two bedrooms', 'Living room', 'Separate kitchen', 'Un-demised roof terrace']","[['Camden Town ', '0.2 miles'], ['Mornington Crescent ', '0.2 miles'], ['Camden Road ', '0.3 miles']]","['underground', 'underground', 'overground']",£0 per year,£1400,105 years left,Band: C,True
9,86528252,"£550,000",Reduced on 02/10/2021,"Carlow House, Euston Reach, Camden, NW1","Spacious, first floor, one bedroom apartment with additional study room, in Carlow House, Euston Reach NW1. Comprising a bright living area with full height windows and a separate kitchen suite with integrated appliances. A large double bedroom with fitted wardrobe space, a study or single bedroo...",Apartment,1,1,,Leasehold,"['ONE BEDROOM PLUS STUDY', 'FIRST FLOOR ', 'CONCIERGE SERVICE ', 'LOFT STYLE LIVING ', 'WAREHOUSE CONVERSION', 'SECURE CYCLE STORAGE ', '4 STOREY ATRIUM GARDEN', 'LIFT', 'GOOD LOCAL AMENITIES', 'CLOSE TRANSPORT LINKS']","[['Mornington Crescent ', '0.1 miles'], ['Camden Town ', '0.3 miles'], ['Camden Road ', '0.4 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
