,id,price,added_reduced,address,description,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band,sold_under_offer
0,137316347,"£525,000",Reduced on 18/10/2023,"Blenheim Terrace, St Johns Wood","A beautifully decorated, one bedroom apartment with patio doors opening on to a private rear garden, further benefits include wooden flooring, a newly fitted bathroom and kitchen.",Flat,1,1,,Share of Freehold,"['Secluded garden', 'Natural wood flooring', 'Double glazing', 'Peaceful setting', 'Close to transport links', ""Close to Regent's Park"", 'Lease exp 2987', 'EPC rating C']","[[""St. John's Wood "", '0.3 miles'], ['Maida Vale ', '0.4 miles'], ['South Hampstead ', '0.5 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
1,86591910,"£550,000",Added on 12/10/2023,"Belgrave Gardens, St John's Wood NW8","Introducing a captivating contemporary gem for sale: this one-bedroom, one-bathroom residence boasts an additional guest WC, a generously proportioned reception room, and a private balcony. Spanning approximately 650 square feet, this apartment is thoughtfully designed to optimize both space and ...",Apartment,1,1,646 sq. ft.(60 sq. m.),Leasehold,"['1 Bedroom', 'Private Balcony', 'High ceilings', 'Great transport links', 'Nearby to the American School', 'Close proximity to the iconic Abbey Road']","[['Kilburn High Road ', '0.3 miles'], ['South Hampstead ', '0.4 miles'], ['Kilburn Park ', '0.4 miles']]","['overground', 'overground', 'underground']",Ask agent,£2300.84,125 years left,Band: E,False
2,140700377,"£550,000",Added on 02/10/2023,"32 Lawn Road, London, NW3","** CHAIN FREE ** ** LONG LEASE ** A beautifully presented and well maintained one double bedroom purpose built ground floor flat, offered for sale in excellent condition throughout. Measuring approximately 547 sq ft, the property comprises of an entrance hall with a storage room, a double bedr...",Flat,2,1,,Leasehold,"['Private Enclosed Balcony & Small Garden', 'One Double Bedroom Purpose Built Flat', 'Ground Floor', 'Long Lease', 'Excellent Condition Throughout', 'Approximately 547 Sq Ft', 'Chain Free', 'Secure Video Entry Phone System', 'Double Glazed, Central Heating', 'Excellent Transport Links, Local Amenities']","[['Belsize Park ', '0.2 miles'], ['Hampstead Heath ', '0.2 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'overground', 'overground']",Ask agent,Ask agent,245 years left,Ask agent,True
3,127014968,"£550,000",Reduced on 26/10/2022,"Belgrave Gardens, St John's Wood","We are pleased to present this delightful, two-double bedroom, second floor apartment, with fantastic natural light throughout and recently renovated bathroom.",Flat,1,2,,Leasehold,"['Chain-free', 'Good condition', 'Bright aspects', 'Peaceful setting', 'Close to amenities', 'Reasonable outgoings', 'EPC rating C', 'Lease exp 2132']","[['Kilburn High Road ', '0.3 miles'], ['Kilburn Park ', '0.4 miles'], ['South Hampstead ', '0.4 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,True
4,86652045,"£550,000",Added on 13/10/2023,"Dunster Gardens, Brondesbury Park",This two double bedroom apartment has a share of freehold and is located on the first floor of this Victorian building. The property will be sold with no onward chain.,Flat,1,2,,Ask agent,"['Victorian Building', 'Two Bedrooms', 'First Floor', 'Period Features', 'Share Of Freehold', 'No Onward Chain']","[['Brondesbury ', '0.1 miles'], ['Kilburn ', '0.3 miles'], ['Brondesbury Park ', '0.4 miles']]","['overground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent,False
5,140031359,"£550,000",Added on 09/01/2023,"London, NW8","PLEASE NOTE THIS PROPERTY IS TENANTED UNTIL 21.10.2023 A large and spacious three bedroom property set over two floors with a garden. Comprising of a large open plan kitchen/reception room, three bedrooms and family bathroom. Located near the amenities of Londonâ€™s famous Abbey Road, with...",Apartment,1,3,,Leasehold,[],"[['South Hampstead ', '0.1 miles'], ['Swiss Cottage ', '0.4 miles'], ['Finchley Road ', '0.5 miles']]","['overground', 'underground', 'underground']",£10 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£2541.46,105 years left,Ask agent,True
6,129445184,"£549,950",Reduced on 23/02/2023,"Willesden Lane, London NW6","We are delighted to offer this spacious, light 3 bedroom flat, set over the third and top floors of this modern development, which is very conveniently located on the Willesden Road, adjacent to Kilburn High Road with a host of transport links, shops, restaurants, cafes and local amenities on the...",Flat,1,3,,Leasehold,"['3 Double Bedrooms', 'Over Two Floors', 'Modern Development', 'Separate Kitchen', 'Modern Bathroom', 'Private Roof Terrace', 'Very Convenient Location', '250 Year Lease To Be Granted', 'No Ground Rent']","[['Brondesbury ', '0.3 miles'], ['Brondesbury Park ', '0.4 miles'], ['Kilburn High Road ', '0.4 miles']]","['overground', 'overground', 'overground']",Ask agent,Ask agent,250 years left,Ask agent,True
7,134182640,"£549,950",Reduced on 11/08/2023,"Compayne Gardens, South Hampstead",This two bedroom period conversion is located on this prestigious road within the South Hampstead Conservation Area. The property is bright and airy with high ceilings and will be sold with no onward chain.,Flat,1,2,,Ask agent,"['Period Conversion', 'Two Double Bedrooms', 'Share Of Freehold', 'First Floor', 'High Ceilings', 'No Onward Chain']","[['West Hampstead ', '0.2 miles'], ['West Hampstead Thameslink ', '0.3 miles'], ['Finchley Road ', '0.4 miles']]","['nationalrail', 'nationalrail', 'underground']",Ask agent,Ask agent,Ask agent,Ask agent,False
8,133845446,"£545,000",Reduced on 05/06/2023,"Westfield Lodge, 
Westfield, NW3","Situated within this prestigious and highly sought after development, a spacious one double bedroom second floor apartment (662 square feet) overlooking communal gardens. Sole agent.",Flat,1,1,,Leasehold,"['Large second floor apartment', '662 square feet', 'Prestigious development', '1 double bedroom & 1 bathroom', 'Sash windows', 'Secure underground parking space', '24 hour concierge ', 'Swimming pool & gymnasium', 'Landscaped communal gardens']","[['West Hampstead Thameslink ', '0.6 miles'], ['Finchley Road & Frognal ', '0.6 miles'], ['West Hampstead ', '0.7 miles']]","['nationalrail', 'overground', 'nationalrail']",£250 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£6000,971 years left,Band: E,True
9,131348984,"£540,000",Reduced on 01/06/2023,"Goldhurst Terrace, South Hampstead, London",Spacious 753 sq ft 1 bedroom flat on the garden floor of this Victorian terraced house on Goldhurst Terrace. Good size reception with high ceilings separate fitted kitchen with door to section of rear garden. Private entrance. Plenty of storage. EPC:C. Council Tax D. Leasehold 125 from 1993. Grou...,Ground Flat,1,1,,Leasehold,"['Spacious 753 sq ft 1 bedroom flat on the garden floor of this period house on Goldhurst Terrace. Near the junction of Fairhazel Gardens ', 'Ideal for Swiss Cottage main line and Jubillee line stations and the variety of shops on Fairfax and Finchley Road', 'Good size reception with wood flooring and  high ceiling. Separate fitted kitchen with door to rear garden', 'Plenty of storage. Private entrance from street. Rear section of lawned garden with patio area  ', 'EPC:C. Council Tax D. Leasehold 125 from 1993. Ground rent £10.00 ', 'Viewing via MAIN AGENTS Rose & Co Estates  ']","[['South Hampstead ', '0.1 miles'], ['Swiss Cottage ', '0.3 miles'], ['Finchley Road ', '0.3 miles']]","['overground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: D,False
