,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,138321971,"£550,000",Added on 05/08/2023,"Pratt Street, London, NW1","A light and well proportioned 2 double bedroom flat situated on the top (3rd floor) and making up part of a converted pub, backing on to St Martins Gardens. Skylight in reception room providing access to unofficial roof terrace.",[],[],Apartment,1,2,,Leasehold,"['Top floor', 'Two bedrooms', 'Living room', 'Separate kitchen', 'Un-demised roof terrace']","[['Camden Town ', '0.2 miles'], ['Mornington Crescent ', '0.2 miles'], ['Camden Road ', '0.3 miles']]",£0 per year,£0,Ask agent,Band: C
1,134690636,"£550,000",Reduced on 12/06/2023,"Leighton Grove, 
Camden, NW5","This spacious and well-presented one bedroom garden flat is a real gem, complete with its own entrance. Each room is generously proportioned and well finished making this apartment a must see!",[],[],Terraced,1,1,,Leasehold,"['Excellent location', 'A pretty patio garden', 'Very well presented', 'Own private entrance', 'Generously proportioned rooms']","[['Kentish Town ', '0.3 miles'], ['Tufnell Park ', '0.4 miles'], ['Kentish Town West ', '0.6 miles']]",Ask agent,Ask agent,92 years left,Band: D
2,137620529,"£550,000",Added on 20/07/2023,"Huddleston Road, London, N7","A spacious one bedroom chain-free flat, set on the lower ground of a substantial period building, with its own entrance and direct access to a private rear garden.",[],[],Apartment,1,1,,Leasehold,[],"[['Tufnell Park ', '0.2 miles'], ['Upper Holloway ', '0.4 miles'], ['Archway ', '0.5 miles']]",£0 per year,£0,Ask agent,Band: TBC
3,137473757,"£550,000",Added on 17/07/2023,"Primrose Gardens, Belsize Park, London",An exceptional one bedroom apartment (519 sq ft / 48.22 sq m) with study area situated on the first floor of a Victorian terraced house overlooking a delightful garden square. This superb property benefits 2.85m high ceilings and features a bright and spacious semi-open plan kitchen/reception/din...,[],[],Apartment,1,1,,Leasehold,[],"[['Belsize Park ', '0.2 miles'], ['Chalk Farm ', '0.4 miles'], ['Swiss Cottage ', '0.6 miles']]",Ask agent,Ask agent,250 years left,Band: D
4,135414338,"£550,000",Reduced on 22/06/2023,"Lady Somerset Road, London, NW5","This beautifully presented two-bedroom flat is situated on one of the most desirable roads near Tufnell Park underground station. The apartment has been completely refurbished to a high standard by its current owners, ensuring a modern and stylish living space that is ready to move into chain-fre...",[],[],Flat,1,2,,Share of Freehold,"['2 Bedroom', 'Sought After Location', 'Excellent Transport Links', 'Close To Local Amenities', 'Amazing School Catchment Area', 'Recently Renovated', 'Large Communal Garden']","[['Tufnell Park ', '0.2 miles'], ['Kentish Town ', '0.3 miles'], ['Gospel Oak ', '0.4 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
5,131014337,"£550,000",Reduced on 20/03/2023,"St. Augustines Road, 
Camden, NW1",A wonderfully bright and very stylish apartment on the first floor of a period conversion. Complete with high ceilings and a separate study area.,[],[],Flat,1,1,,Leasehold,"['Immaculate condition', 'First floor', 'High ceilings', 'Generous rooms', 'Well-located', 'Great transport links', 'Walking distance to Kings Cross and Camden', 'Study area']","[['Caledonian Road ', '0.4 miles'], ['Camden Road ', '0.6 miles'], ['Caledonian Road & Barnsbury ', '0.6 miles']]",£50 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£300,106 years left,Band: D
6,138321971,"£550,000",Added on 05/08/2023,"Pratt Street, London, NW1","A light and well proportioned 2 double bedroom flat situated on the top (3rd floor) and making up part of a converted pub, backing on to St Martins Gardens. Skylight in reception room providing access to unofficial roof terrace.",[],[],Apartment,1,2,,Leasehold,"['Top floor', 'Two bedrooms', 'Living room', 'Separate kitchen', 'Un-demised roof terrace']","[['Camden Town ', '0.2 miles'], ['Mornington Crescent ', '0.2 miles'], ['Camden Road ', '0.3 miles']]",£0 per year,£0,Ask agent,Band: C
7,86198826,"£550,000",Added on 13/06/2023,"Croftdown Road, Dartmouth Park, London, NW5","Moments from Hampstead Heath in the heart Dartmouth Park is this stunning split level second floor flat enjoying lovely leafy views and offering very spacious, well planned accommodation. ",[],[],Flat,1,1,785 sq. ft.(73 sq. m.),Leasehold,"['Spacious Reception Room', 'Characterful Kitchen/Diner', '17ft Bedroom', 'Bathroom', 'Split Level', 'Lots of Built-in Storage', 'Moments form Hampstead Heath', 'Close to Excellent Amenities']","[['Gospel Oak ', '0.4 miles'], ['Tufnell Park ', '0.5 miles'], ['Archway ', '0.6 miles']]",Ask agent,Ask agent,150 years left,Ask agent
8,133848821,"£550,000",Reduced on 17/05/2023,"Hilldrop Crescent, 
Hillmarton Conservation Area, N7",A generously proportioned two bedroom apartment with private south west facing garden. This super property is positioned within a semi detached Victorian villa in a convenient location close to the amenities of Brecknock Parade.,[],[],Flat,1,2,740 sq. ft.(69 sq. m.),Leasehold,"['NO ONWARD CHAIN', 'Two bedroom Apartment', 'SW Facing private garden', 'Own front door', 'Close to shops and amenities']","[['Caledonian Road ', '0.5 miles'], ['Kentish Town ', '0.5 miles'], ['Tufnell Park ', '0.6 miles']]",£250 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£482,105 years left,Band: D
9,138190505,"£550,000",Added on 02/08/2023,"Burghley Road, London","A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park ( (cont.)",[],[],Flat,2,2,,Leasehold,"['A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location', 'Within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park (Northern Line) and Kentish Town (Northern Line/Overground) stations', 'Two double bedrooms', 'Bay fronted reception', 'Separate kitchen', 'En-suite bathroom to rear bedroom', 'Potential gross rental income up to £2,500.00 Per calendar month (£30,000.00per annum).', 'Patio garden which enjoys a sunny aspect', 'Also ideally located for access to the open spaces of Hampstead Heath/Parliament Hill Fields', 'SOLE AGENT']","[['Tufnell Park ', '0.1 miles'], ['Kentish Town ', '0.3 miles'], ['Gospel Oak ', '0.5 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
