,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,136187942,"£550,000",Added on 16/06/2023,"ETON HALL, NW3","A Bright and modern, one bedroom apartment set on the second floor of a well-maintained purpose-built portered block (0.1miles) from Chalk Farm underground station. Eton Hall all is well located for the Northern line services of Chalk Farm and the pubs, shops and restaurants of Primrose Hill.",['16/06/2023'],"['Initial entry found: £550,000']",Flat,1,1,,Leasehold,"['One Bedroom', 'One Bathroom', 'Communal Gardens', 'Porter', 'Heating and hot water included in Service charge', 'Separate Kitchen', 'Lift Access']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]",£26 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£4100,84 years left,Band: C
1,131014337,"£550,000",Reduced on 20/03/2023,"St. Augustines Road, 
Camden, NW1",A wonderfully bright and very stylish apartment on the first floor of a period conversion. Complete with high ceilings and a separate study area.,"['20/03/2023', '24/01/2023']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,1,,Leasehold,"['Immaculate condition', 'First floor', 'High ceilings', 'Generous rooms', 'Well-located', 'Great transport links', 'Walking distance to Kings Cross and Camden', 'Study area']","[['Caledonian Road ', '0.4 miles'], ['Camden Road ', '0.6 miles'], ['Caledonian Road & Barnsbury ', '0.6 miles']]",£50 per year (Ask agent about the review period)When and how often your ground rent will be reviewed.Read more about ground rent review period in our glossary page.,£300,106 years left,Band: D
2,138451334,"£550,000",Added on 09/08/2023,"Tasker Road, Bellsize Park NW3",One bed top floor duplex loft style apartment in Bellsize Park.,['09/08/2023'],"['Initial entry found: £550,000']",Apartment,1,1,677 sq. ft.(63 sq. m.),Leasehold,"['677 sq ft Loft Style Apartment', 'Duplex', 'Exposed brick work', 'Wooden Beams', 'Modern fitted kitchen', 'Modern floor to ceiling tiled bathroom', 'Hampstead Heath', 'Primrose Hill / Regents Park', 'Excellent transport links', 'Close to Haverstock Hill & England’s Lane']","[['Belsize Park ', '0.3 miles'], ['Gospel Oak ', '0.4 miles'], ['Hampstead Heath ', '0.4 miles']]",Ask agent,Ask agent,Ask agent,Band: D
3,137661284,"£550,000",Reduced on 11/08/2023,"Camden Road, Kentish Town",This two double bedroom apartment has a modern open plan kitchen / living room with floor to ceiling windows that allow in a lot of natural light.,"['11/08/2023', '20/07/2023']","['Price changed from £600,000 to £550,000', 'Initial entry found: £600,000']",Flat,1,2,,Ask agent,"['Two Double Bedrooms', 'Open Plan Kitchen / Living', 'Chain Free', 'Modern Apartment', 'Floor to Ceiling Windows', 'Long Lease']","[['Caledonian Road ', '0.5 miles'], ['Kentish Town ', '0.5 miles'], ['Tufnell Park ', '0.6 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
4,135927671,"£550,000",Added on 09/06/2023,"Eton College Road, Belsize Park NW3","A spacious and bright one bedroom apartment - Fantastic roof top views across London - Top floor, 571 sq ft approx - Porterage, lift and communal gardens - Good decorative order - Popular 1930`s purpose built block - 18ft reception - 15ft bedroom with built in wardrobes - Separat...",['09/06/2023'],"['Initial entry found: £550,000']",Apartment,1,1,571 sq. ft.(53 sq. m.),Leasehold,"['A spacious and bright one bedroom apartment', 'Fantastic roof top views across London', 'Top floor- 571 sq ft approx', 'Porterage, lift and communal gardens', 'Good decorative order', 'Popular 1930`s purpose built block', '18ft reception', '15ft bedroom with built in wardrobes', 'First come first served parking', 'Ideal for Chalk Farm station,Primrose Hill and Belsize Park']","[['Chalk Farm ', '0.1 miles'], ['Kentish Town West ', '0.4 miles'], ['Belsize Park ', '0.5 miles']]",Ask agent,£4000,958 years left,Band: C
5,138369707,"£550,000",Added on 12/06/2023,"Cliff Villas, London, NW1","Boasting high ceilings and large, sash windows, this large one-bedroom apartment is situated on the raised ground floor of a beautiful Victorian conversion in the Camden Square Conservation Area. ",['12/08/2023'],"['Initial entry found: £550,000']",Apartment,1,1,,Share of Freehold,"['Charming, one-bedroom apartment', 'High ceilings', 'Flooded with natural light', 'Share of Freehold']","[['Caledonian Road ', '0.4 miles'], ['Caledonian Road & Barnsbury ', '0.6 miles'], ['Camden Road ', '0.6 miles']]",£0 per year,£1440,Ask agent,Band: D
6,135089531,"£550,000",Added on 22/05/2023,"Ferdinand Street, London, NW1","A three bedroom purpose built sixth floor apartment, with a balcony and lift, located close to Camden Town and Chalk Farm.",['22/05/2023'],"['Initial entry found: £550,000']",Apartment,1,3,,Leasehold,"['3 Bedrooms', '1 Reception', 'Bathroom & seperate WC', 'Balcony with West facing views', 'Arranged over 793 SQFT', 'Lift', 'Double glazing', 'Wooden floors', 'Period features', 'Lease 101 years remaining']","[['Kentish Town West ', '0.2 miles'], ['Chalk Farm ', '0.2 miles'], ['Camden Town ', '0.4 miles']]",£10 per year,£1520,100 years left,Band: C
7,130251602,"£550,000",Added on 08/06/2023,"Primrose Hill Road, Primrose Hill",A 1 bed flat located on the 5th floor of a recently refurbished block. The balcony boasts stunning views over London and Primrose Hill. Comes with secure allocated parking. ,"['09/01/2023', '27/12/2022']","['Price changed from £575,000 to £550,000', 'Initial entry found: £575,000']",Flat,1,1,,Share of Freehold,"['ONE BEDROOM', 'PRIVATE BALCONY', 'DUAL LIFTS', 'SHARE OF FREEHOLD', 'CONCIERGE', 'SECURED PARKING SPACE', 'GR: £0 PA / SC £:3830', 'EPC RATING C']","[['Chalk Farm ', '0.4 miles'], ['Belsize Park ', '0.4 miles'], ['Swiss Cottage ', '0.5 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
8,134337602,"£550,000",Reduced on 06/07/2023,"Gloucester Avenue, Primrose Hill, London, NW1","A super one bedroom flat on the raised ground floor of an elegant Victorian terrace on Gloucester Avenue in Primrose Hill, a short walk to Camden, Regents Park and Primrose itself. The property has a very nice open plan reception room with kitchen and dining area, double bedroom, good sized bathr...","['06/07/2023', '01/06/2023', '02/05/2023']","['Price changed from £575,000 to £550,000', 'Price changed from £600,000 to £575,000', 'Initial entry found: £600,000']",Flat,1,1,,Share of Freehold,[],"[['Camden Town ', '0.3 miles'], ['Mornington Crescent ', '0.5 miles'], ['Camden Road ', '0.5 miles']]",£0 per year,£1956,172 years left,Band: TBC
9,132251912,"£550,000",Added on 05/03/2023,"Mortimer Terrace, London, NW5",A very spacious second and third floor maisonette conveniently located moments from Hampstead Heath. ,['05/03/2023'],"['Initial entry found: £550,000']",Maisonette,1,2,826 sq. ft.(77 sq. m.),Leasehold,"['Two Double Bedrooms', 'Reception Room', 'Kitchen', 'Bathroom', 'Requires Moderisation', 'Moments from Hampstead Heath', 'Close to Shops & Transport Connections', ""Residents' Permit Parking Zone""]","[['Gospel Oak ', '0.2 miles'], ['Tufnell Park ', '0.4 miles'], ['Kentish Town ', '0.4 miles']]",Ask agent,Ask agent,Ask agent,Ask agent
