,id,price,added_reduced,address,description,price_change_date,price_change_value,type_house,bathrooms,bedrooms,size,tenure,key_features,close_stations,close_stations_type,tenure_ground_rent,tenure_annual_service_charge,tenure_lease_length,council_tax_band
0,136124126,"£415,000",Added on 28/03/2023,"Mary Wharrie House, Fellows Road, London NW3","This charming one-bedroom apartment is situated on the first floor of Mary Wharrie House on Fellows Road, Primrose Hill. The low-rise block is positioned behind a communal lawn and situated on a small estate a short walk from Primrose Hill, one of the most beautiful viewpoints in London and the g...",['16/06/2023'],"['Initial entry found: £415,000']",Flat,1,1,464 sq. ft.(43 sq. m.),Leasehold,[],"[['Chalk Farm ', '0.3 miles'], ['Belsize Park ', '0.4 miles'], ['Swiss Cottage ', '0.6 miles']]","['underground', 'underground', 'underground']",Ask agent,Ask agent,Ask agent,Band: TBC
1,125001404,"£550,000",Reduced on 16/06/2023,"York Way, King's Cross, London, N7",A beautiful one bedroom apartment with private balcony.,"['11/08/2023', '16/06/2023', '04/04/2023', '18/08/2022', '15/07/2022']","['Price changed from £560,000 to £550,000', 'Price changed from £575,000 to £560,000', 'Price changed from £600,000 to £575,000', 'Price changed from £620,000 to £600,000', 'Initial entry found: £620,000']",Apartment,1,1,,Leasehold,"['Wooden flooring', 'Underfloor heating throughout', 'Balcony', 'Concierge', 'Secure bike storage', 'Leasehold', 'EPC Rating = B']","[['Caledonian Road & Barnsbury ', '0.6 miles'], ['Caledonian Road ', '0.7 miles'], ['Camden Road ', '0.4 miles']]","['overground', 'underground', 'overground']",£400 per year,£3700,111 years left,Band: E
2,134756045,"£550,000",Added on 12/05/2023,"Tufnell Mansions, Anson Road, London, N7","A well-presented two bedroom first floor flat, set within an attractive period mansion block, in popular Anson Road, with use of a communal rear garden.",[],[],Apartment,1,2,,Share of Freehold,[],"[['Tufnell Park ', '0.4 miles'], ['Upper Holloway ', '0.5 miles'], ['Kentish Town ', '0.6 miles']]","['underground', 'overground', 'nationalrail']",£0 per year,£0,Ask agent,Band: TBC
3,86528252,"£550,000",Reduced on 02/10/2021,"Carlow House, Euston Reach, Camden, NW1","Spacious, first floor, one bedroom apartment with additional study room, in Carlow House, Euston Reach NW1. Comprising a bright living area with full height windows and a separate kitchen suite with integrated appliances. A large double bedroom with fitted wardrobe space, a study or single bedroo...","['02/10/2021', '06/08/2020', '12/11/2019']","['Price changed from £595,000 to £550,000', 'Price changed from £625,000 to £595,000', 'Initial entry found: £625,000']",Apartment,1,1,,Leasehold,"['ONE BEDROOM PLUS STUDY', 'FIRST FLOOR ', 'CONCIERGE SERVICE ', 'LOFT STYLE LIVING ', 'WAREHOUSE CONVERSION', 'SECURE CYCLE STORAGE ', '4 STOREY ATRIUM GARDEN', 'LIFT', 'GOOD LOCAL AMENITIES', 'CLOSE TRANSPORT LINKS']","[['Mornington Crescent ', '0.1 miles'], ['Camden Town ', '0.3 miles'], ['Camden Road ', '0.4 miles']]","['underground', 'underground', 'overground']",Ask agent,Ask agent,Ask agent,Band: D
4,138190505,"£550,000",Added on 02/08/2023,"Burghley Road, London","A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park ( (cont.)",[],[],Flat,2,2,,Leasehold,"['A thoughtfully planned and well presented patio garden apartment forming part of a converted Victorian terraced property situated in a highly sought after residential location', 'Within close proximity to local shops, cafes, bars and restaurants on Fortess Road together with both Tufnell Park (Northern Line) and Kentish Town (Northern Line/Overground) stations', 'Two double bedrooms', 'Bay fronted reception', 'Separate kitchen', 'En-suite bathroom to rear bedroom', 'Potential gross rental income up to £2,500.00 Per calendar month (£30,000.00per annum).', 'Patio garden which enjoys a sunny aspect', 'Also ideally located for access to the open spaces of Hampstead Heath/Parliament Hill Fields', 'SOLE AGENT']","[['Tufnell Park ', '0.1 miles'], ['Kentish Town ', '0.3 miles'], ['Gospel Oak ', '0.5 miles']]","['underground', 'nationalrail', 'overground']",Ask agent,Ask agent,Ask agent,Ask agent
5,128162219,"£550,000",Reduced on 16/06/2023,"York Way, London, N7","We are delighted to offer this immaculately presented one bedroom apartment with balcony located within the popular XY Development. Flooded with natural light and boasting views overlooking the iconic London skyline, XY is walking distance to Coal Drops Yard and King's Cross St. Pancr...","['11/08/2023', '16/06/2023', '03/04/2023', '18/10/2022']","['Price changed from £560,000 to £550,000', 'Price changed from £575,000 to £560,000', 'Price changed from £600,000 to £575,000', 'Initial entry found: £600,000']",Apartment,1,1,,Leasehold,"['High Specification One Bedroom', 'Flooded With Light', 'Balcony', 'High Floor with Views', '24-Hour Concierge', '545 Sq Ft Approximately', ""Prime King's Cross"", 'EPC Rating: B']","[['Caledonian Road & Barnsbury ', '0.5 miles'], ['Caledonian Road ', '0.5 miles'], ['Camden Road ', '0.6 miles']]","['overground', 'underground', 'overground']",£400 per year,£4000,124 years left,Band: E
6,134690636,"£550,000",Reduced on 12/06/2023,"Leighton Grove, 
Kentish Town, NW5","This spacious and well-presented one bedroom garden flat is a real gem, complete with its own entrance. Each room is generously proportioned and well finished making this apartment a must see!","['12/06/2023', '11/05/2023']","['Price changed from £570,000 to £550,000', 'Initial entry found: £570,000']",Terraced,1,1,,Leasehold,"['Excellent location', 'A pretty patio garden', 'Very well presented', 'Own private entrance', 'Generously proportioned rooms']","[['Kentish Town ', '0.3 miles'], ['Tufnell Park ', '0.4 miles'], ['Kentish Town West ', '0.6 miles']]","['nationalrail', 'underground', 'overground']",Ask agent,Ask agent,92 years left,Band: D
7,137090039,"£550,000",Added on 30/03/2023,"Sandall Road, Kentish Town, London, NW5",A fantastic one-bedroom period garden flat located within close proximity of Kentish Town High Street and adjacent to Camden School for Girls. The property features a spacious double-through reception with kitchen/diner including stripped wooden flooring and large sash windows. At the rear you ha...,[],[],Flat,1,1,,Leasehold,"['Period Property', 'Private Garden', 'Extension Possible (STP)', 'Camden School For Girls', 'One Double Bedroom', 'Brilliant Local Amenities']","[['Camden Road ', '0.4 miles'], ['Kentish Town ', '0.4 miles'], ['Kentish Town West ', '0.5 miles']]","['overground', 'nationalrail', 'overground']",£10 per year,£393,96 years left,Band: D
8,137620529,"£550,000",Added on 20/07/2023,"Huddleston Road, London, N7","A spacious one bedroom chain-free flat, set on the lower ground of a substantial period building, with its own entrance and direct access to a private rear garden.",['20/07/2023'],"['Initial entry found: £550,000']",Apartment,1,1,,Leasehold,[],"[['Tufnell Park ', '0.2 miles'], ['Upper Holloway ', '0.4 miles'], ['Archway ', '0.5 miles']]","['underground', 'overground', 'underground']",£0 per year,£0,Ask agent,Band: TBC
9,138321971,"£550,000",Added on 05/08/2023,"Pratt Street, London, NW1","A light and well proportioned 2 double bedroom flat situated on the top (3rd floor) and making up part of a converted pub, backing on to St Martins Gardens. Skylight in reception room providing access to unofficial roof terrace.",['05/08/2023'],"['Initial entry found: £550,000']",Apartment,1,2,,Leasehold,"['Top floor', 'Two bedrooms', 'Living room', 'Separate kitchen', 'Un-demised roof terrace']","[['Camden Town ', '0.2 miles'], ['Mornington Crescent ', '0.2 miles'], ['Camden Road ', '0.3 miles']]","['underground', 'underground', 'overground']",£0 per year,£0,Ask agent,Band: C
